,date,Tavg,RH_avg,RR,ddd_x,ff_avg,station_name,flood
118,2016-08-24,27.5,82.0,0.1,110.0,1.0,Stasiun Klimatologi Banten,0
119,2016-08-25,26.8,81.0,1.0,280.0,1.0,Stasiun Klimatologi Banten,0
120,2016-08-26,27.6,82.0,1.4,60.0,1.0,Stasiun Klimatologi Banten,0
121,2016-08-27,26.2,87.0,1.4,180.0,2.0,Stasiun Klimatologi Banten,1
122,2016-08-28,27.3,85.0,58.0,80.0,0.0,Stasiun Klimatologi Banten,1
123,2016-08-29,26.2,91.0,14.5,90.0,0.0,Stasiun Klimatologi Banten,0
124,2016-08-30,25.1,93.0,0.4,200.0,1.0,Stasiun Klimatologi Banten,0
125,2016-08-31,27.3,85.0,58.0,90.0,1.0,Stasiun Klimatologi Banten,0
126,2016-09-01,28.1,81.0,1.4,140.0,1.0,Stasiun Klimatologi Banten,1
127,2016-09-02,27.7,82.0,25.0,190.0,1.0,Stasiun Klimatologi Banten,0
128,2016-09-03,28.4,78.0,1.2,180.0,1.0,Stasiun Klimatologi Banten,0
129,2016-09-04,26.8,85.0,1.4,70.0,0.0,Stasiun Klimatologi Banten,0
130,2016-09-05,28.4,78.0,6.0,80.0,2.0,Stasiun Klimatologi Banten,0
131,2016-09-06,27.8,81.0,1.4,300.0,1.0,Stasiun Klimatologi Banten,0
132,2016-09-07,27.7,79.0,0.4,260.0,2.0,Stasiun Klimatologi Banten,1
133,2016-09-08,27.4,82.0,11.8,250.0,1.0,Stasiun Klimatologi Banten,1
134,2016-09-09,28.3,76.0,0.1,100.0,2.0,Stasiun Klimatologi Banten,0
135,2016-09-10,28.9,72.0,1.4,70.0,2.0,Stasiun Klimatologi Banten,0
136,2016-09-11,27.8,76.0,1.4,250.0,2.0,Stasiun Klimatologi Banten,0
137,2016-09-12,29.1,66.0,1.4,110.0,1.0,Stasiun Klimatologi Banten,0
138,2016-09-13,28.5,75.0,2.0,260.0,1.0,Stasiun Klimatologi Banten,0
139,2016-09-14,28.4,75.0,1.4,100.0,2.0,Stasiun Klimatologi Banten,0
140,2016-09-15,26.9,86.0,42.0,210.0,1.0,Stasiun Klimatologi Banten,1
141,2016-09-16,27.4,82.0,14.2,70.0,1.0,Stasiun Klimatologi Banten,0
142,2016-09-17,28.1,82.0,2.0,220.0,2.0,Stasiun Klimatologi Banten,0
143,2016-09-18,27.3,89.0,9.0,120.0,0.0,Stasiun Klimatologi Banten,0
144,2016-09-19,26.2,92.0,1.4,290.0,1.0,Stasiun Klimatologi Banten,0
145,2016-09-20,28.0,83.0,15.7,240.0,2.0,Stasiun Klimatologi Banten,0
146,2016-09-21,25.8,91.0,1.4,280.0,1.0,Stasiun Klimatologi Banten,0
147,2016-09-22,27.7,85.0,4.4,250.0,1.0,Stasiun Klimatologi Banten,0
148,2016-09-23,28.1,80.0,1.4,240.0,2.0,Stasiun Klimatologi Banten,0
